Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Oslo - Blindern;SN18700;07.01.2025 14:00;1,5
Oslo - Blindern;SN18700;07.01.2025 15:00;1,5
Oslo - Blindern;SN18700;07.01.2025 16:00;1,1
Oslo - Blindern;SN18700;07.01.2025 17:00;0,7
Oslo - Blindern;SN18700;07.01.2025 18:00;0,4
Oslo - Blindern;SN18700;07.01.2025 19:00;0,4
Oslo - Blindern;SN18700;07.01.2025 20:00;0,3
Oslo - Blindern;SN18700;07.01.2025 21:00;-0,3
Oslo - Blindern;SN18700;07.01.2025 22:00;-1
Oslo - Blindern;SN18700;07.01.2025 23:00;-1,2
Oslo - Blindern;SN18700;08.01.2025 00:00;-1,3
Oslo - Blindern;SN18700;08.01.2025 01:00;-1,8
Oslo - Blindern;SN18700;08.01.2025 02:00;-2,5
Oslo - Blindern;SN18700;08.01.2025 03:00;-3
Oslo - Blindern;SN18700;08.01.2025 04:00;-3,6
Oslo - Blindern;SN18700;08.01.2025 05:00;-3,5
Oslo - Blindern;SN18700;08.01.2025 06:00;-3,3
Oslo - Blindern;SN18700;08.01.2025 07:00;-3
Oslo - Blindern;SN18700;08.01.2025 08:00;-2,7
Oslo - Blindern;SN18700;08.01.2025 09:00;-2,4
Oslo - Blindern;SN18700;08.01.2025 10:00;-2,4
Oslo - Blindern;SN18700;08.01.2025 11:00;-2,1
Oslo - Blindern;SN18700;08.01.2025 12:00;-2
Oslo - Blindern;SN18700;08.01.2025 13:00;-1,9
Oslo - Blindern;SN18700;08.01.2025 14:00;-1,9
Oslo - Blindern;SN18700;08.01.2025 15:00;-1,7
Oslo - Blindern;SN18700;08.01.2025 16:00;-2,2
Oslo - Blindern;SN18700;08.01.2025 17:00;-2,7
Oslo - Blindern;SN18700;08.01.2025 18:00;-3
Oslo - Blindern;SN18700;08.01.2025 19:00;-4,6
Oslo - Blindern;SN18700;08.01.2025 20:00;-3,8
Oslo - Blindern;SN18700;08.01.2025 21:00;-2,3
Oslo - Blindern;SN18700;08.01.2025 22:00;-2,4
Oslo - Blindern;SN18700;08.01.2025 23:00;-2,1
Oslo - Blindern;SN18700;09.01.2025 00:00;-1,9
Oslo - Blindern;SN18700;09.01.2025 01:00;-2
Oslo - Blindern;SN18700;09.01.2025 02:00;-2
Oslo - Blindern;SN18700;09.01.2025 03:00;-2,1
Oslo - Blindern;SN18700;09.01.2025 04:00;-2,4
Oslo - Blindern;SN18700;09.01.2025 05:00;-2,3
Oslo - Blindern;SN18700;09.01.2025 06:00;-2,1
Oslo - Blindern;SN18700;09.01.2025 07:00;-2,4
Oslo - Blindern;SN18700;09.01.2025 08:00;-2
Oslo - Blindern;SN18700;09.01.2025 09:00;-1,8
Oslo - Blindern;SN18700;09.01.2025 10:00;-1,5
Oslo - Blindern;SN18700;09.01.2025 11:00;-1,1
Oslo - Blindern;SN18700;09.01.2025 12:00;-0,7
Oslo - Blindern;SN18700;09.01.2025 13:00;-0,7
Oslo - Blindern;SN18700;09.01.2025 14:00;-0,7
Oslo - Blindern;SN18700;09.01.2025 15:00;-0,9
Oslo - Blindern;SN18700;09.01.2025 16:00;-0,8
Oslo - Blindern;SN18700;09.01.2025 17:00;-0,9
Oslo - Blindern;SN18700;09.01.2025 18:00;-1
Oslo - Blindern;SN18700;09.01.2025 19:00;-0,9
Oslo - Blindern;SN18700;09.01.2025 20:00;-0,9
Oslo - Blindern;SN18700;09.01.2025 21:00;-0,9
Oslo - Blindern;SN18700;09.01.2025 22:00;-1
Oslo - Blindern;SN18700;09.01.2025 23:00;-1
Oslo - Blindern;SN18700;10.01.2025 00:00;-1,2
Oslo - Blindern;SN18700;10.01.2025 01:00;-1,7
Oslo - Blindern;SN18700;10.01.2025 02:00;-2,3
Oslo - Blindern;SN18700;10.01.2025 03:00;-2,9
Oslo - Blindern;SN18700;10.01.2025 04:00;-3,1
Oslo - Blindern;SN18700;10.01.2025 05:00;-2,6
Oslo - Blindern;SN18700;10.01.2025 06:00;-3,1
Oslo - Blindern;SN18700;10.01.2025 07:00;-4,2
Oslo - Blindern;SN18700;10.01.2025 08:00;-3,8
Oslo - Blindern;SN18700;10.01.2025 09:00;-3,5
Oslo - Blindern;SN18700;10.01.2025 10:00;-2,9
Oslo - Blindern;SN18700;10.01.2025 11:00;-2,3
Oslo - Blindern;SN18700;10.01.2025 12:00;-1,7
Oslo - Blindern;SN18700;10.01.2025 13:00;-1
Oslo - Blindern;SN18700;10.01.2025 14:00;-1,2
Oslo - Blindern;SN18700;10.01.2025 15:00;-1,9
Oslo - Blindern;SN18700;10.01.2025 16:00;-2,8
Oslo - Blindern;SN18700;10.01.2025 17:00;-3,3
Oslo - Blindern;SN18700;10.01.2025 18:00;-3,2
Oslo - Blindern;SN18700;10.01.2025 19:00;-3,2
Oslo - Blindern;SN18700;10.01.2025 20:00;-3,5
Oslo - Blindern;SN18700;10.01.2025 21:00;-3,6
Oslo - Blindern;SN18700;10.01.2025 22:00;-4,7
Oslo - Blindern;SN18700;10.01.2025 23:00;-3,4
Oslo - Blindern;SN18700;11.01.2025 00:00;-3,6
Oslo - Blindern;SN18700;11.01.2025 01:00;-3,4
Oslo - Blindern;SN18700;11.01.2025 02:00;-3,1
Oslo - Blindern;SN18700;11.01.2025 03:00;-2,7
Oslo - Blindern;SN18700;11.01.2025 04:00;-2,8
Oslo - Blindern;SN18700;11.01.2025 05:00;-2,6
Oslo - Blindern;SN18700;11.01.2025 06:00;-2,3
Oslo - Blindern;SN18700;11.01.2025 07:00;-1,8
Oslo - Blindern;SN18700;11.01.2025 08:00;-2,4
Oslo - Blindern;SN18700;11.01.2025 09:00;-2,4
Oslo - Blindern;SN18700;11.01.2025 10:00;-1,9
Oslo - Blindern;SN18700;11.01.2025 11:00;-1,1
Oslo - Blindern;SN18700;11.01.2025 12:00;-1,2
Oslo - Blindern;SN18700;11.01.2025 13:00;-0,9
Oslo - Blindern;SN18700;11.01.2025 14:00;-1,3
Oslo - Blindern;SN18700;11.01.2025 15:00;-1,7
Oslo - Blindern;SN18700;11.01.2025 16:00;-2,2
Oslo - Blindern;SN18700;11.01.2025 17:00;-2
Oslo - Blindern;SN18700;11.01.2025 18:00;-2,1
Oslo - Blindern;SN18700;11.01.2025 19:00;-2,1
Oslo - Blindern;SN18700;11.01.2025 20:00;-2,1
Oslo - Blindern;SN18700;11.01.2025 21:00;-2,3
Oslo - Blindern;SN18700;11.01.2025 22:00;-3,2
Oslo - Blindern;SN18700;11.01.2025 23:00;-3,7
Oslo - Blindern;SN18700;12.01.2025 00:00;-4,7
Oslo - Blindern;SN18700;12.01.2025 01:00;-5,6
Oslo - Blindern;SN18700;12.01.2025 02:00;-6,6
Oslo - Blindern;SN18700;12.01.2025 03:00;-7,1
Oslo - Blindern;SN18700;12.01.2025 04:00;-7,3
Oslo - Blindern;SN18700;12.01.2025 05:00;-7,7
Oslo - Blindern;SN18700;12.01.2025 06:00;-7,6
Oslo - Blindern;SN18700;12.01.2025 07:00;-8,1
Oslo - Blindern;SN18700;12.01.2025 08:00;-8,6
Oslo - Blindern;SN18700;12.01.2025 09:00;-8,9
Oslo - Blindern;SN18700;12.01.2025 10:00;-8,4
Oslo - Blindern;SN18700;12.01.2025 11:00;-7,9
Oslo - Blindern;SN18700;12.01.2025 12:00;-6,8
Oslo - Blindern;SN18700;12.01.2025 13:00;-5,8
Oslo - Blindern;SN18700;12.01.2025 14:00;-6
Oslo - Blindern;SN18700;12.01.2025 15:00;-6
Oslo - Blindern;SN18700;12.01.2025 16:00;-7,8
Oslo - Blindern;SN18700;12.01.2025 17:00;-9,1
Oslo - Blindern;SN18700;12.01.2025 18:00;-10
Oslo - Blindern;SN18700;12.01.2025 19:00;-10,3
Oslo - Blindern;SN18700;12.01.2025 20:00;-10,5
Oslo - Blindern;SN18700;12.01.2025 21:00;-9,6
Oslo - Blindern;SN18700;12.01.2025 22:00;-9,7
Oslo - Blindern;SN18700;12.01.2025 23:00;-9,6
Oslo - Blindern;SN18700;13.01.2025 00:00;-10
Oslo - Blindern;SN18700;13.01.2025 01:00;-10,5
Oslo - Blindern;SN18700;13.01.2025 02:00;-10,2
Oslo - Blindern;SN18700;13.01.2025 03:00;-9,8
Oslo - Blindern;SN18700;13.01.2025 04:00;-8,8
Oslo - Blindern;SN18700;13.01.2025 05:00;-9
Oslo - Blindern;SN18700;13.01.2025 06:00;-8,5
Oslo - Blindern;SN18700;13.01.2025 07:00;-8,5
Oslo - Blindern;SN18700;13.01.2025 08:00;-7,7
Oslo - Blindern;SN18700;13.01.2025 09:00;-7,1
Oslo - Blindern;SN18700;13.01.2025 10:00;-5,7
Oslo - Blindern;SN18700;13.01.2025 11:00;-2,9
Oslo - Blindern;SN18700;13.01.2025 12:00;-1,6
