"","x"
"124",54.2055613196115
"125",-122.179240828254
"126",38.1750977599827
"127",31.148999953104
"128",23.3686116111538
"129",-82.8208822907662
"130",-24.8147472294714
"131",-48.6786569066008
"132",53.7504959393846
"133",-82.4701242057996
"134",-109.721464163573
"135",-379.580491840137
"136",-7.62849648858393
"137",-53.4581837282771
"138",-3.26765800638424
"139",274.890914207735
"140",-64.6945574940269
"141",8.33715038582125
"142",23.8709468897391
"143",-29.040513794735
"144",-12.394488195963
"145",58.9294784078371
"146",-36.5281850542868
"147",-342.229170113129
"148",-32.3230964171029
"149",-15.78849104032
"150",-127.407421558523
"151",-63.4499502020543
"152",-55.785646418753
"153",326.803444956449
"154",28.8763470831666
"155",18.2408064030301
"156",32.0572777146302
"157",-78.6721475434715
"158",-66.8025845457036
"159",-165.603114525499
"160",251.74771155456
"161",190.113110172696
"162",-47.417904873707
"163",1.31032398133812
"164",-47.3990380281595
"165",59.0044302793867
"166",4.08850781154376
"167",-31.6504106841863
"168",29.3359967639975
"169",48.868570695981
"170",80.5379411809591
"171",48.6426573553723
"172",69.6507748543135
"173",38.8329407755188
"174",56.1273482100488
"175",14.3551258743654
"176",-2.46638056357085
"177",-160.964703103599
"178",-47.9456632911686
"179",42.3633504804297
"180",110.751272358093
"181",59.9650706835571
"182",62.3089846030258
"183",118.593355339248
"184",-23.0451963418823
"185",-26.0474633995481
"186",-6.66735881311808
"187",-53.424883146884
"188",10.1585120380158
"189",-2.12264700624758
"190",68.2638934709743
"191",-46.5466451403732
"192",44.2913300842275
"193",16.9312018586837
"194",28.5942148172696
"195",45.5046436552881
"196",47.1315798302963
"197",36.4601770958193
"198",22.6634023246704
"199",21.1408449583525
"200",-26.6737117198808
"201",-122.765194982222
"202",-95.9902882713
"203",8.59972073868539
"204",76.7348223736998
"205",-144.191422805212
"206",-101.648420353537
"207",-248.191101524981
"208",-18.8375865522393
"209",-103.227536462116
"210",160.787084512748
"211",75.0124652950825
"212",116.234828595957
"213",-24.1943490292895
"214",39.3989815325623
"215",-37.1928827170542
"216",13.354766734706
"217",8.79497227863283
"218",19.7273012975041
"219",-7.44504946161385
"220",-19.4867708410161
"221",1.54458080288578
"222",-3.34764405382009
"223",26.3267700699953
"224",-69.4062938395098
"225",-124.135380568886
"226",-114.385113696198
"227",-330.746405346819
"228",-36.5347434578768
"229",39.7733097641257
"230",0.72601290796085
"231",38.2749288143402
"232",-57.5172230231344
"233",11.0476492137933
"234",-124.108620616703
"235",8.73729983513013
"236",93.5515815644074
"237",129.245445565529
"238",-12.0019903875642
"239",-13.4217970779829
"240",49.4720697697516
"241",13.2349719700641
"242",29.1839036134214
"243",24.4923402722222
"244",46.7818966597933
"245",26.7194716105533
"246",23.2784108229124
"247",6.39362388378265
"248",14.3057857667191
"249",-1.44296035908826
"250",54.1684024141442
"251",191.432083328224
"252",40.9665001080097
"253",40.4851187230915
"254",19.5862564370493
"255",0.121252669863679
"256",13.461715610786
"257",83.7302821272003
"258",53.609363774031
"259",10.1910555216501
"260",328.202949964344
"261",531.463983082255
"262",-836.683381551622
"263",85.5617149580398
"264",-27.2222946795329
"265",-34.9511462164809
"266",-32.8081668092329
"267",87.1457911479525
"268",26.0259975482251
"269",29.3102810781759
"270",44.2811362739061
"271",-0.376237951464191
"272",0.917574266871156
"273",-40.5765428106374
"274",175.960520307536
"275",787.954465350756
"276",-506.097943695292
"277",-55.0007006284975
"278",-58.1831300201204
"279",56.6408837380577
"280",14.53549456391
"281",-43.055974718594
"282",-40.9514417054171
"283",1.82536225342517
"284",-118.682671443274
"285",-74.0664804692686
"286",145.549615665013
