"","time","AvgTempNO1","Price_NOK","Energy","demand"
"107",2025-01-05 12:00:00,-12.94,882.0736,4083140,6905.58
"108",2025-01-05 13:00:00,-12.2,815.0304,4083140,6935.84
"109",2025-01-05 14:00:00,-11.64,778.472,4083140,6967.46
"110",2025-01-05 15:00:00,-11.02,681.7616,4083140,6985.33
"111",2025-01-05 16:00:00,-10.66,533.192,4083140,7078.39
"112",2025-01-05 17:00:00,-10.12,555.968,4083140,7137.74
"113",2025-01-05 18:00:00,-9.64,710.6112,4083140,7117.02
"114",2025-01-05 19:00:00,-9.24,683.9808,4083140,7054.18
"115",2025-01-05 20:00:00,-8.88,553.632,4083140,6956.6
"116",2025-01-05 21:00:00,-8.64,418.9616,4083140,6888.35
"117",2025-01-05 22:00:00,-8.42,406.9312,4083140,6755.57
"118",2025-01-05 23:00:00,-8.36,387.3088,4083140,6589.41
"119",2025-01-06,-8.22,352.0352,4083140,6374.13
"120",2025-01-06 01:00:00,-8.06,347.7136,4083140,6138.32
"121",2025-01-06 02:00:00,-8,300.4096,4083140,5997.7
"122",2025-01-06 03:00:00,-7.82,294.4528,4083140,5937.7
"123",2025-01-06 04:00:00,-7.64,215.2624,4083140,5919.82
"124",2025-01-06 05:00:00,-7.36,208.488,4083140,5908.46
"125",2025-01-06 06:00:00,-7.08,291.1824,4083140,6041.15
"126",2025-01-06 07:00:00,-6.74,319.3312,4083140,6509.9
"127",2025-01-06 08:00:00,-6.1,387.8928,4083140,7029.85
"128",2025-01-06 09:00:00,-5.94,487.2896,4083140,7169.45
"129",2025-01-06 10:00:00,-5.74,444.7744,4083140,7156.98
"130",2025-01-06 11:00:00,-5.3,420.0128,4083140,7099.12
"131",2025-01-06 12:00:00,-4.96,396.7696,4083140,7106.6
"132",2025-01-06 13:00:00,-4.24,379.8336,4083140,7069.84
"133",2025-01-06 14:00:00,-3.52,362.8976,4083140,7046.73
"134",2025-01-06 15:00:00,-2.88,367.5696,4083140,7027.67
"135",2025-01-06 16:00:00,-2.62,371.8912,4083140,7048.67
"136",2025-01-06 17:00:00,-2.52,372.9424,4083140,7119.02
"137",2025-01-06 18:00:00,-2.38,391.1632,4083140,7035.58
"138",2025-01-06 19:00:00,-2.28,394.0832,4083140,6919.98
"139",2025-01-06 20:00:00,-2.2,377.264,4083140,6775.26
"140",2025-01-06 21:00:00,-2.08,373.176,4083140,6673.65
"141",2025-01-06 22:00:00,-1.9,330.7776,4083140,6523.17
"142",2025-01-06 23:00:00,-1.66,350.6336,4083140,6296.84
"143",2025-01-07,-1.44,312.2064,4083140,6032.13
"144",2025-01-07 01:00:00,-1.2,322.368,4083140,5873.05
"145",2025-01-07 02:00:00,-0.88,322.368,4083140,5664.97
"146",2025-01-07 03:00:00,-0.42,306.016,4083140,5547.45
"147",2025-01-07 04:00:00,0.02,279.8528,4083140,5434.35
